,Adj Close,Close,High,Low,Open,Volume
2017-04-18,34043.85546875,41500.0,41820.0,41280.0,41680.0,6860650
2017-04-19,33551.65234375,40900.0,41420.0,40900.0,41300.0,11762900
2017-04-20,33043.046875,40280.0,40800.0,40080.0,40580.0,21148850
2017-04-21,33436.79296875,40760.0,41400.0,40480.0,40480.0,15130500
2017-04-24,33830.55859375,41240.0,41260.0,40920.0,41260.0,8990150
2017-04-25,35028.23828125,42700.0,42740.0,41320.0,41460.0,19299600
2017-04-26,35110.28515625,42800.0,42800.0,42520.0,42700.0,14794800
2017-04-27,35963.4296875,43840.0,44520.0,41960.0,42700.0,23032250
2017-04-28,36603.28515625,44620.0,45800.0,44520.0,45780.0,22685700
2017-05-02,36832.9765625,44900.0,45500.0,44760.0,45500.0,14068300
2017-05-04,37341.59375,45520.0,45700.0,44860.0,45700.0,13690100
2017-05-08,38572.08984375,47020.0,47020.0,45340.0,45520.0,19582550
2017-05-10,37407.21484375,45600.0,47220.0,45600.0,46160.0,23410950
2017-05-11,37325.1875,45500.0,46180.0,45220.0,45420.0,21277850
2017-05-12,37587.6953125,45820.0,46160.0,45660.0,45760.0,9422900
2017-05-15,37817.38671875,46100.0,46280.0,45620.0,45620.0,8001400
2017-05-16,38047.0859375,46380.0,46800.0,46100.0,46660.0,8803750
2017-05-17,38014.265625,46340.0,46640.0,46100.0,46120.0,7424450
2017-05-18,37686.14453125,45940.0,46000.0,45540.0,45740.0,11160350
2017-05-19,36685.32421875,44720.0,45780.0,44720.0,45640.0,15762350
2017-05-22,36997.04296875,45100.0,45380.0,44760.0,45040.0,17643550
2017-05-23,36849.39453125,44920.0,45580.0,44900.0,45400.0,12607050
2017-05-24,36816.578125,44880.0,45300.0,44800.0,44860.0,8675400
2017-05-25,37472.84375,45680.0,45680.0,44800.0,45160.0,13044800
2017-05-26,37800.97265625,46080.0,46460.0,45540.0,45600.0,13613650
2017-05-29,37423.625,45620.0,46400.0,45380.0,46220.0,8739550
2017-05-30,36619.69921875,44640.0,45660.0,44480.0,45520.0,12433600
2017-05-31,36668.921875,44700.0,45020.0,44400.0,44580.0,18669100
2017-06-01,36652.5078125,44680.0,44900.0,44400.0,44860.0,9753500
2017-06-02,37702.52734375,45960.0,45960.0,45000.0,45060.0,12488750
2017-06-05,37686.14453125,45940.0,46360.0,45720.0,46040.0,7599400
2017-06-07,37161.11328125,45300.0,46500.0,45240.0,46500.0,13729400
2017-06-08,37046.265625,45160.0,45580.0,45000.0,45000.0,13978750
2017-06-09,37817.38671875,46100.0,46440.0,45600.0,45680.0,11732850
2017-06-12,37226.75,45380.0,45600.0,45140.0,45420.0,10954300
2017-06-13,37243.14453125,45400.0,45620.0,45140.0,45140.0,8624900
2017-06-14,37210.3359375,45360.0,46060.0,45240.0,45800.0,10166700
2017-06-15,37472.84375,45680.0,45920.0,45180.0,45680.0,9657000
2017-06-16,37390.80859375,45580.0,45940.0,45460.0,45500.0,17403450
2017-06-19,38194.734375,46560.0,46560.0,45560.0,45580.0,11303900
2017-06-20,39490.8671875,48140.0,48140.0,47220.0,47240.0,15045000
2017-06-21,38949.44921875,47480.0,48120.0,47480.0,47740.0,9973650
2017-06-22,39343.2109375,47960.0,48080.0,47720.0,47960.0,11455800
2017-06-23,39064.2890625,47620.0,47780.0,47420.0,47600.0,9515100
2017-06-26,39605.70703125,48280.0,48360.0,47520.0,47520.0,8552800
2017-06-27,39622.12109375,48300.0,48400.0,47900.0,48220.0,9616750
2017-06-28,39129.91015625,47700.0,48000.0,47560.0,47600.0,9572500
2017-06-29,39442.55859375,47940.0,48320.0,47940.0,48040.0,8306550
2017-06-30,39113.4609375,47540.0,47620.0,47100.0,47500.0,11877550
2017-07-03,38850.19140625,47220.0,47780.0,47120.0,47500.0,6805550
2017-07-04,38669.1796875,47000.0,47400.0,46900.0,47160.0,7961000
2017-07-05,39146.37890625,47580.0,47680.0,46780.0,46820.0,10640250
2017-07-06,39541.29296875,48060.0,48100.0,47720.0,48000.0,10923050
2017-07-07,39376.74609375,47860.0,48120.0,47620.0,47740.0,8131900
2017-07-10,40034.94140625,48660.0,48900.0,48320.0,48500.0,10792750
2017-07-11,40314.671875,49000.0,49000.0,48280.0,48640.0,9717800
2017-07-12,41038.69921875,49880.0,50000.0,48840.0,49000.0,9486150
2017-07-13,41598.16015625,50560.0,50940.0,50040.0,50080.0,16034150
2017-07-14,41532.3359375,50480.0,51080.0,50420.0,51000.0,8239000
2017-07-17,41663.9765625,50640.0,51020.0,50520.0,50900.0,8976100
2017-07-18,41828.53515625,50840.0,50880.0,50360.0,50420.0,7084450
2017-07-19,41746.25390625,50740.0,50820.0,50000.0,50620.0,11157500
2017-07-20,42124.73046875,51200.0,51320.0,50560.0,50760.0,8367600
2017-07-21,42025.984375,51080.0,51160.0,50520.0,50860.0,8449050
2017-07-24,41844.9921875,50860.0,51000.0,50620.0,50700.0,7099750
2017-07-25,41137.421875,50000.0,50760.0,49940.0,50500.0,10810600
2017-07-26,41005.78125,49840.0,50020.0,49300.0,49600.0,11224800
2017-07-27,40972.875,49800.0,50640.0,49560.0,50000.0,11449500
2017-07-28,39294.47265625,47760.0,49800.0,47380.0,49800.0,26168300
2017-07-31,39656.46875,48200.0,48240.0,46920.0,47420.0,12701400
2017-08-01,39985.58203125,48600.0,48840.0,47540.0,48000.0,11369500
2017-08-02,40314.671875,49000.0,49340.0,48600.0,49200.0,7777450
2017-08-03,39310.9296875,47780.0,49000.0,47120.0,49000.0,15540800
2017-08-04,39245.1015625,47700.0,48180.0,47500.0,48160.0,8359200
2017-08-07,39146.37890625,47580.0,48080.0,47440.0,47500.0,7218250
2017-08-08,39261.5625,47720.0,48260.0,47480.0,47980.0,7979600
2017-08-09,38076.8046875,46280.0,47400.0,46240.0,47400.0,14555400
2017-08-10,37764.15625,45900.0,46320.0,45460.0,46200.0,22986150
2017-08-11,36711.02734375,44620.0,45300.0,44220.0,45120.0,25407300
2017-08-14,37023.68359375,45000.0,45400.0,44720.0,45120.0,19185600
2017-08-16,38010.98046875,46200.0,46380.0,46000.0,46220.0,21913650
